device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329226331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329232434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329238481,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329244385,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329250404,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39329256416,0,0,0.000,0.000,0.000,0.000,
