device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847453540,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847459361,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847465097,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847470864,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847476638,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35847482377,0,0,0.000,0.000,0.000,0.000,
