device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723910850,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723916814,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723922777,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723928749,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.129,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723934713,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723940677,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.196,33723946630,0,0,0.000,0.000,0.000,0.000,
