device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388608800,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.740,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388614911,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388621053,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388627150,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388633284,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388639456,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.345,29388645643,0,0,0.000,0.000,0.000,0.000,
