device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037473267,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037479283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037485314,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037491329,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037497345,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037503361,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037509388,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2037509388,0,0,0.000,0.000,0.000,0.000,
