device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700526981,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700532963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700538963,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700544943,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700550945,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700556925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.373,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33700562925,0,0,0.000,0.000,0.000,0.000,
