device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347486539,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347492299,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347498093,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347503930,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347509762,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347515536,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.444,37347521257,0,0,0.000,0.000,0.000,0.000,
