device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787477680,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787483574,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787489504,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787495395,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.828,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787501330,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787507255,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787513113,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787513113,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787513113,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,1787513113,0,0,0.000,0.000,0.000,0.000,
