device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.518,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350699755,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350705588,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350711490,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350717385,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350723273,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
GPU,1,58.586,10350729214,0,0,0.000,0.000,0.000,0.000,
