device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647528363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647534337,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647540308,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647546327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647552237,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647558189,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647564135,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647564135,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647564135,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,10647564135,0,0,0.000,0.000,0.000,0.000,
