device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628795123,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628800917,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628806708,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628812559,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628818359,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628824208,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32628830010,0,0,0.000,0.000,0.000,0.000,
