device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123177501,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123183432,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123189389,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123195317,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,58.940,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123201283,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123207210,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.008,12123213162,0,0,0.000,0.000,0.000,0.000,
